Name,Province,Town,Address,Latitude,Longitude
3 DE MARZO,Araba/�lava,Vitoria-Gasteiz,"Plaza Tres de Marzo, s/n","42,85604797053618","-2,667784994714487"
ABANTO,Bizkaia,Abanto y Ci�rvana-Abanto Zierbena,"Avda. del Minero, 2. Ayuntamiento","43,32047399433485","-3,0741559961978044"
AGURAIN,Araba/�lava,Agurain/Salvatierra,"C/ Fueros, 11. Subcomisar�a de la Ertzaintza.","42,84901250588428","-2,3937033896081683"
ALGORTA (BBIZI2),Bizkaia,Getxo,"Carretera de Galea, s/n ","43,362055748944286","-3,0227822073211765"
ALONSOTEGI,Bizkaia,Alonsotegi,"C/ Baztieta, s/n. B� Irauregi","43,247567997964374","-2,988024000380936"
ANDOAIN,Gipuzkoa,Andoain,Ikastola Aita larramendi,"43,22137866586519","-2,02332524753123"
ARRAIZ (Monte),Bizkaia,Bilbao,"Camino de Arraiz, s/n","43,245553729819484","-2,960475856567045"
ATEGORRIETA,Gipuzkoa,Donostia / San Sebasti�n,"Avda. Ategorrieta, 71","43,32199194732484","-1,960650618338729"
AV. GASTEIZ,Araba/�lava,Vitoria-Gasteiz,"Avda. Gasteiz, 97","42,85478118366939","-2,6807098224581067"
AVDA. TOLOSA,Gipuzkoa,Donostia / San Sebasti�n,"C/ Andrestegi, 2 ","43,30941344063433","-2,010938423674493"
AZPEITIA,Gipuzkoa,Azpeitia,"C/ Perdillegi, s/n","43,180370053194196","-2,2682104189344456"
A�ORGA,Gipuzkoa,Donostia / San Sebasti�n,"Avda. de A�orga, 12 (A�orga Txiki)","43,29053138556358","-1,9957411467011474"
BANDERAS (meteo),Bizkaia,Bilbao,"Monte Banderas, s/n","43,28099012364825","-2,953278416670214"
BARAKALDO,Bizkaia,Barakaldo,"C/ Hogar propio, 7. CIFP Nicol�s Larburu","43,298378997955","-2,987132999827669"
BASAURI,Bizkaia,Basauri,"C/ Uribarri, 5. CEIP Bizkotxalde.","43,24113129588412","-2,8837610228035238"
BEASAIN,Gipuzkoa,Beasain,"Plaza Gipuzkoa, 1","43,04809432240711","-2,191380269702985"
BOROA METEO,Bizkaia,Amorebieta-Etxano,"Parque Empresarial Boroa, s/n","43,23590459584916","-2,7506874305174405"
CASTREJANA,Bizkaia,Barakaldo,"C/ Larrazabal, 1. B� Castrejana","43,25807942736176","-2,973456590856772"
DURANGO,Bizkaia,Durango,"C/ San Roque, 20 bajo. E.S. Roque","43,168285997690994","-2,6379580009450136"
EASO,Gipuzkoa,Donostia / San Sebasti�n,"Plaza del Centenario, s/n","43,31215280742268","-1,9809008637096939"
ELCIEGO,Araba/�lava,Elciego,"C/ Gabriel Celaya, 8","42,51824807424149","-2,61947521199466"
ERANDIO,Bizkaia,Erandio,"Avda. Jos� Luis Goyoaga, s/n (Pasaje de Altzaga)","43,3026526345891","-2,9772399863752486"
EUROPA,Bizkaia,Bilbao,Parque Europa. B� Txurdinaga,"43,25491056506432","-2,902376115931137"
FARMACIA,Araba/�lava,Vitoria-Gasteiz,"Paseo Universidad, 7. Fac. Farmacia UPV","42,840099615592926","-2,672563184280286"
FERIA (meteo),Bizkaia,Bilbao,"C/ Rafael Moreno Pitxitxi, s/n","43,26522199716327","-2,9475439999557134"
HERNANI,Gipuzkoa,Hernani,"C/ Aristizabal, s/n. Centro de salud Hernani.","43,26743142273141","-1,977715640356133"
JAIZKIBEL,Gipuzkoa,Hondarribia,"Monte Jaizkibel, s/n","43,342775184321106","-1,8594129027945114"
LARRABETZU,Bizkaia,Larrabetzu,"Barrio Berrezoaga, 3","43,261226121618066","-2,799399084312731"
